pad,value,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,ROW TOTAL
Column percent,32,1.2,1.6,2.5,2.8,1.9,1,1.5,2.7,2.8,1.9,1.1,2.2,1.8,2,1.7,1.7,2.6,1.5,1.8,2.1,2.2,1.5,2.1,1.9,1.8,1.8,1.9,2.4,1.4,2.8,2,2
Column percent,33,0.1,0.1,0.8,0.1,0.4,0.1,0,0.6,0.5,0,0.3,0.1,0.2,0.3,0.1,0.3,0.3,0.2,0.3,0.3,0.1,0.1,0.2,0.2,0.2,0.6,0.2,0.4,0.2,0.6,0.5,0.3
Column percent,34,0.5,0.3,0.2,0.3,0.1,0.1,0.8,0.2,0,0,0.7,0.3,0.2,0,0.3,0.1,0.6,0.4,0.3,0.2,0.5,0.1,0.5,0.4,0.3,0.2,0.2,0.3,0.4,0.6,0.3,0.3
Column percent,35,4.9,4.1,3.7,4.5,3.7,4.1,3.8,3.9,3.5,3,1.4,4,3.1,2,2.1,2.8,2.6,3.4,2.2,2.9,2.4,2.9,2.8,3.1,3.3,2.6,2.7,2.9,3,2.6,3.4,3.1
Column percent,36,1.2,0.6,0.1,0.7,1.1,0.7,1,0.7,1,0.9,1.4,0.8,1.5,1.7,0.9,0.8,0.9,1,1.4,1.6,1,1.2,1.1,1.2,1,1.1,1.1,1.7,1.2,1.4,2,1.2
Column percent,37,1.3,1.5,1.7,2,0.8,1.8,1.3,1.3,1.9,2.5,1.2,1.1,1,1.2,0.9,1.6,0.7,0.9,1.1,0.8,0.8,1,1.3,0.9,0.9,1.3,1,1,1.3,1.1,1.1,1.2
Column percent,38,1.6,0.1,1.1,1.1,2.7,2.2,0.8,2.6,1.6,1.3,3,1.7,1.9,2.1,2.3,3.1,1.4,1.4,2.1,1.3,1.8,1.5,1.5,2.3,1.8,1.2,2.4,1.7,1.2,1,1.5,1.7
Column percent,39,0.3,0.5,0.5,0.4,0.3,0.1,0.2,0.6,0.5,0.7,0.5,0.2,0.3,0.1,0.3,0.1,0.4,0.3,0.2,0.5,0.3,0.4,0.3,0.5,0.2,0.4,0.3,0.4,0.6,0.6,0,0.4
Column percent,40,38.1,44.7,38.7,42.7,42.8,38.2,38.2,37.8,35.7,36.4,34.7,34.7,33,36.1,32.8,34.2,33.7,29.5,33.5,32.6,32,34.5,30.4,31,32.7,29.9,29.7,29.8,35.1,31.4,30.9,33.9
Column percent,41,0.3,0,0.4,0.6,0.6,0.9,0.7,0.4,0.1,0.4,0.6,0.6,0.3,0.1,0.3,0.2,0.5,0.3,0.4,0.5,0.6,0.5,0.5,0.3,0.2,0.3,0.6,0.4,0.2,0.5,0.5,0.4
Column percent,42,1.6,1.7,1.3,1.2,1.3,1.5,2.2,1.8,2,1.2,1.5,0.9,0.9,1.7,1.4,1.9,0.9,2,1,2.2,1.6,1.5,1.6,1.6,1.8,2.3,2.4,1.6,1.2,2.2,1.8,1.6
Column percent,43,0.8,0.7,0.9,0.9,0.6,0.6,0.8,0.5,0.6,1.3,0.4,0.6,0.7,0.5,1.1,0.9,0.3,0.7,1,0.6,1,1,1.1,0.9,1.4,1.1,0.7,1,0.3,0.6,0.8,0.8
Column percent,44,1.2,1.6,1.1,0.9,1.7,0.9,1.4,0.8,0.6,0.9,1.5,1.1,1.4,0.6,0.9,1.1,0.9,1.7,1.1,1.4,0.9,1.6,1.2,1.3,0.9,1,1,1.1,0.6,0.7,1.2,1.1
